Seqno,RecvTime,U1,I1,U2,I2,U3,I3
338,1743738062356532,281.249,12.783,-255.832,-11.628,-25.417,-1.155
339,1743738062356538,274.384,12.473,-264.204,-12.012,-10.180,-0.462
340,1743738062356543,266.873,12.132,-271.952,-12.363,5.101,0.231
341,1743738062356547,258.694,11.758,-279.033,-12.686,20.338,0.924
342,1743738062356552,249.892,11.360,-285.468,-12.977,35.554,1.616
343,1743738062356557,240.508,10.931,-291.193,-13.235,50.684,2.304
344,1743738062356562,230.522,10.478,-296.207,-13.466,65.685,2.983
345,1743738062356567,219.998,9.998,-300.533,-13.660,80.535,3.662
346,1743738062356571,208.936,9.499,-304.106,-13.822,95.170,4.327
347,1743738062356576,197.378,8.973,-306.968,-13.951,109.590,4.983
348,1743738062356580,185.347,8.423,-309.099,-14.048,123.752,5.625
349,1743738062356585,172.843,7.855,-310.455,-14.113,137.612,6.253
350,1743738062356590,159.952,7.269,-311.079,-14.141,151.127,6.872
351,1743738062356594,146.672,6.668,-310.950,-14.136,164.299,7.467
352,1743738062356599,133.027,6.045,-310.089,-14.094,177.061,8.049
353,1743738062356604,119.060,5.412,-308.475,-14.020,189.394,8.608
354,1743738062356610,104.812,4.766,-306.107,-13.914,201.295,9.148
355,1743738062356615,90.306,4.105,-303.008,-13.771,212.680,9.666
356,1743738062356620,75.607,3.436,-299.177,-13.600,223.571,10.164
357,1743738062356625,60.692,2.757,-294.615,-13.392,233.923,10.631
358,1743738062356631,45.648,2.074,-289.363,-13.152,243.694,11.079
359,1743738062356636,30.497,1.385,-283.402,-12.880,252.905,11.494
360,1743738062356641,15.259,0.693,-276.751,-12.580,261.492,11.887
361,1743738062356647,0.000,0.000,-269.434,-12.247,269.434,12.247
362,1743738062356652,-15.259,-0.693,-261.492,-11.887,276.751,12.580
363,1743738062356657,-30.497,-1.385,-252.905,-11.494,283.402,12.880
364,1743738062356663,-45.648,-2.074,-243.694,-11.079,289.363,13.152
365,1743738062356668,-60.692,-2.757,-233.923,-10.631,294.615,13.392
366,1743738062356674,-75.607,-3.436,-223.571,-10.164,299.177,13.600
367,1743738062356679,-90.306,-4.105,-212.680,-9.666,303.008,13.771
368,1743738062356684,-104.812,-4.766,-201.295,-9.148,306.107,13.914
369,1743738062356689,-119.060,-5.412,-189.394,-8.608,308.475,14.020
370,1743738062356698,-133.027,-6.045,-177.061,-8.049,310.089,14.094
371,1743738062356703,-146.672,-6.668,-164.299,-7.467,310.950,14.136
372,1743738062356708,-159.952,-7.269,-151.127,-6.872,311.079,14.141
373,1743738062356714,-172.843,-7.855,-137.612,-6.253,310.455,14.113
374,1743738062356719,-185.347,-8.423,-123.752,-5.625,309.099,14.048
375,1743738062356724,-197.378,-8.973,-109.590,-4.983,306.968,13.951
376,1743738062356729,-208.936,-9.499,-95.170,-4.327,304.106,13.822
377,1743738062356734,-219.998,-9.998,-80.535,-3.662,300.533,13.660
378,1743738062356739,-230.522,-10.478,-65.685,-2.983,296.207,13.466
379,1743738062356744,-240.508,-10.931,-50.684,-2.304,291.193,13.235
